"filename", "language", "Lua", "JSON", "JSON with Comments", "HTML", "PowerShell", "C++", "TypeScript", "JavaScript", "CSS", "Makefile", "Markdown", "LaTeX", "XML", "YAML", "comment", "blank", "total"
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\weapon_templates\万钧神威.lua", "Lua", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 41
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\weapon_templates\圣翼皓印.lua", "Lua", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 35
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\weapon_templates\炽翼魔印.lua", "Lua", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 35
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\weapon_templates\神鬼开天.lua", "Lua", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 32
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\weapon_templates\魔神开天.lua", "Lua", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 32
"c:\Users\Silver\develop\CSOL-Utilities\source\Controller.ps1", "PowerShell", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 30
"c:\Users\Silver\develop\CSOL-Utilities\source\Controller\AutoPlayStateMachine.cpp", "C++", 0, 0, 0, 0, 0, 392, 0, 0, 0, 0, 0, 0, 0, 0, 39, 7, 438
"c:\Users\Silver\develop\CSOL-Utilities\source\Controller\BasicUtilities.cpp", "C++", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 97
"c:\Users\Silver\develop\CSOL-Utilities\source\Controller\Console.cpp", "C++", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 102
"c:\Users\Silver\develop\CSOL-Utilities\source\Controller\Controller.cpp", "C++", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 116
"c:\Users\Silver\develop\CSOL-Utilities\source\Controller\DateTime.cpp", "C++", 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 28, 6, 131
"c:\Users\Silver\develop\CSOL-Utilities\source\Controller\DispatchFixedCommand.cpp", "C++", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\Silver\develop\CSOL-Utilities\source\Controller\EventHandler.cpp", "C++", 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 165
"c:\Users\Silver\develop\CSOL-Utilities\source\Controller\ExecutorCommand.cpp", "C++", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Silver\develop\CSOL-Utilities\source\Controller\Main.cpp", "C++", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 97
"c:\Users\Silver\develop\CSOL-Utilities\source\Controller\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Silver\develop\CSOL-Utilities\source\Controller\Messenger.cpp", "C++", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 77
"c:\Users\Silver\develop\CSOL-Utilities\source\Controller\WatchGameProcess.cpp", "C++", 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 159
"c:\Users\Silver\develop\CSOL-Utilities\source\Controller\WindowCapture.cpp", "C++", 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 10, 23, 197
"c:\Users\Silver\develop\CSOL-Utilities\source\Executor\$~cmd.lua", "Lua", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Silver\develop\CSOL-Utilities\source\Executor\Command.lua", "Lua", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\Silver\develop\CSOL-Utilities\source\Executor\Console.lua", "Lua", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 43
"c:\Users\Silver\develop\CSOL-Utilities\source\Executor\Context.lua", "Lua", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 26
"c:\Users\Silver\develop\CSOL-Utilities\source\Executor\DateTime.lua", "Lua", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 81
"c:\Users\Silver\develop\CSOL-Utilities\source\Executor\Delay.lua", "Lua", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
